1,Bankruptcy or Indebtedness,1820,108,0,1928,426,29,0,455,5879,482,0,6361
,,351 149 0 500,,,,61 10 0 71,,,,,,,
,2.1 Non Settlement of,,,,,,,,,,,,
,,86,30,0,116,9,1,0,10,1616,1031,0,2647
,Marriage,,,,,,,,,,,,
,,9 8 0 17,,,,6 1 0 7,,,,,,,
,2.3 Extra Marital Affairs,94,35,0,129,20,1,0,21,855,593,0,1448
,,49 26 0 75,,,,5 0 0 5,,,,,,,
,2.5 Others,113,50,0,163,21,7,0,28,793,725,0,1518
,,17 3 0 20,,,,2 1 0 3,,,,,,,
4,Impotency/Infertility,38,22,0,60,9,4,0,13,185,222,0,407
,,7687 1926 0 9613,,,,3208 939 0 4147,,,,,,,
6,Illness (Total),5410,1855,1,7266,4080,1786,0,5866,21014,9426,6,30446
,,29 9 1 39,,,,10 0 0 10,,,,,,,
,6.2 Cancer,304,115,0,419,260,113,0,373,909,337,0,1246
,,326 77 0 403,,,,301 103 0 404,,,,,,,
,6.4 Insanity/ Mental,,,,,,,,,,,,
,,2011,714,0,2725,1156,579,0,1735,9713,4077,2,13792
,Illness,,,,,,,,,,,,
,,2740 940 0 3680,,,,2353 991 0 3344,,,,,,,
7,Death of Dear Person,305,127,0,432,212,102,0,314,1281,644,0,1925
,,2525 59 0 2584,,,,764 18 0 782,,,,,,,
9,Fall in Social Reputation,157,28,0,185,110,10,0,120,748,153,0,901
,,24 2 0 26,,,,11 0 0 11,,,,,,,
11,Love Affairs,92,18,0,110,6,0,0,6,4667,2894,2,7563
,,444 43 0 487,,,,86 20 0 106,,,,,,,
13,Unemployment,484,35,0,519,84,18,0,102,3203,337,1,3541
,,421 75 0 496,,,,119 29 0 148,,,,,,,
,Suspected/ Illicit Relation,,,,,,,,,,,,
15,,69,16,0,85,5,1,0,6,418,278,0,696
,(Other than Sl. No. 2.3),,,,,,,,,,,,
,,0 0 0 0,,,,0 0 0 0,,,,,,,
17,"Physical Abuse (Rape, etc.)",6,1,0,7,0,0,0,0,25,53,0,78
,,401 61 0 462,,,,122 9 0 131,,,,,,,
19,Causes Not Known,2102,487,0,2589,748,211,0,959,11728,4243,3,15974
,,2201 592 1 2794,,,,941 360 0 1301,,,,,,,
21,Total,24554,5607,2,30163,10994,3547,0,14541,118979,45026,28,164033
