18,Poisoning (Total),21727,,115,75,1,191,14729,6877,0,21606
,18.1 Food Poisoning,597,,22,3,0,25,382,205,0,587
,18.2 Accidental Intake of,,,,,,,,,,
,,7565,,67,59,0,126,5267,2143,0,7410
,Insecticides/Pesticides,,,,,,,,,,
,18.3 Poisonous Gases (Total),110,,1,0,0,1,101,20,0,121
,18.3.1 Carbon Monoxide,,,,,,,,,,
,,10,,1,0,0,1,10,0,0,10
,(CO) Gas,,,,,,,,,,
,18.3.2 Other Poisonous,,,,,,,,,,
,,100,,0,0,0,0,91,20,0,111
,Gases,,,,,,,,,,
,18.4 Snake Bite,10085,,21,10,0,31,6490,3606,0,10096
,18.5 Animal/Reptiles/,,,,,,,,,,
,,1077,,3,3,1,7,768,299,0,1067
,Insects Bite,,,,,,,,,,
,18.6 Other,2293,,1,0,0,1,1721,604,0,2325
