Sl. No.,State/UT,Number of Suicides,"Percentage Share in
Total Suicides",Projected Mid_year Population #            (in lakhs),Rate of Suicides (Col.3/Col.5)
1,ANDHRA PRADESH,6226,4.7,513.4*,12.1
2,ARUNACHAL PRADESH,135,0.1,13.0,10.4
3,ASSAM,3231,2.4,322.0,10.0
4,BIHAR,516,0.4,1031.4,0.5
5,CHHATTISGARH,7118,5.3,256.6,27.7
6,GOA,302,0.2,19.7,15.4
7,GUJARAT,7246,5.4,623.3,11.6
8,HARYANA,3545,2.7,272.2,13.0
9,HIMACHAL PRADESH,543,0.4,70.6,7.7
10,JAMMU & KASHMIR,372,0.3,123.4,3.0
11,JHARKHAND,835,0.6,333.5,2.5
12,KARNATAKA,10786,8.1,619.9,17.4
13,KERALA,7692,5.8,355.5,21.6
14,MADHYA PRADESH,10293,7.7,771.3,13.3
15,MAHARASHTRA,16970,12.7,1191.4,14.2
16,MANIPUR,37,0.0,25.7,1.4
17,MEGHALAYA,172,0.1,27.5,6.2
18,MIZORAM,123,0.1,10.6,11.7
19,NAGALAND,21,0.0,23.6,0.9
20,ODISHA,4087,3.1,422.5,9.7
21,PUNJAB,1049,0.8,289.4,3.6
22,RAJASTHAN,3457,2.6,723.1,4.8
23,SIKKIM,241,0.2,6.4,37.5
24,TAMIL NADU,15777,11.8,691.6,22.8
25,TELANGANA,10140,7.6,365.6*,27.7
26,TRIPURA,746,0.6,38.0,19.6
27,UTTAR PRADESH,3902,2.9,2158.4,1.8
28,UTTARAKHAND,475,0.4,105.4,4.5
29,WEST BENGAL,14602,10.9,930.0,15.7
30,TOTAL (STATES),130639,97.8,12334.8,10.6
31,UNION TERRITORIES,,,,
32,A & N ISLANDS,158,0.1,5.5,28.9
33,CHANDIGARH,121,0.1,17.4,6.9
34,D & N HAVELI,106,0.1,4.2,25.4
35,DAMAN & DIU,38,0.0,3.2,11.8
36,DELHI (UT),1845,1.4,208.8,8.8
37,LAKSHADWEEP,5,0.0,0.8,6.3
38,PUDUCHERRY,711,0.5,16.5,43.2
39,TOTAL (UTS),2984,2.2,256.3,11.6
40,TOTAL (ALL INDIA),133623,100.0,12591.1,10.6
