Sl. No.,State/UT,"Number of
Suicides","Percentage Share in
Total Suicides","Projected Mid–Year
Population #
(in Lakh)","Rate of Suicides
(Col.3/Col.5)"
1,ANDHRA PRADESH,5354,4.1,517.5,10.3
2,ARUNACHAL PRADESH,89,0.1,14.8,6.0
3,ASSAM,2276,1.8,336.7,6.8
4,BIHAR,388,0.3,1165.5,0.3
5,CHHATTISGARH,6312,4.9,280.8,22.5
6,GOA,273,0.2,15.2,18.0
7,GUJARAT,7418,5.7,663.9,11.2
8,HARYANA,3387,2.6,280.0,12.1
9,HIMACHAL PRADESH,576,0.4,72.2,8.0
10,JAMMU & KASHMIR,287,0.2,133.2,2.2
11,JHARKHAND,1214,0.9,365.1,3.3
12,KARNATAKA,11716,9.0,649.3,18.0
13,KERALA,7870,6.1,348.2,22.6
14,MADHYA PRADESH,11770,9.1,803.3,14.7
15,MAHARASHTRA,17646,13.6,1202.5,14.7
16,MANIPUR,43,0.0,30.5,1.4
17,MEGHALAYA,165,0.1,11.7,14.1
18,MIZORAM,91,0.1,31.7,2.9
19,NAGALAND,33,0.0,21.1,1.6
20,ODISHA,4493,3.5,433.7,10.4
21,PUNJAB,1481,1.1,294.6,5.0
22,RAJASTHAN,3838,3.0,755.8,5.1
23,SIKKIM,214,0.2,6.5,32.9
24,TAMIL NADU,14459,11.1,751.1,19.3
25,TELANGANA,7620,5.9,367.8,20.7
26,TRIPURA,692,0.5,39.2,17.7
27,UTTAR PRADESH,4426,3.4,2200.4,2.0
28,UTTARAKHAND,331,0.3,109.3,3.0
29,WEST BENGAL,12014,9.2,958.9,12.5
30,TOTAL (STATES),126476,97.4,12860.5,9.8
31,UNION TERRITORIES,,,,
32,A & N ISLANDS,139,0.1,3.9,35.6
33,CHANDIGARH,113,0.1,11.6,9.7
34,D & N HAVELI,75,0.1,4.9,15.3
35,DAMAN & DIU,41,0.0,3.7,11.1
36,DELHI (UT),2462,1.9,191.8,12.8
37,LAKSHADWEEP,0,0.0,0.7,0.0
38,PUDUCHERRY,581,0.4,14.5,40.1
39,TOTAL (UTS),3411,2.6,231.1,14.8
40,TOTAL (ALL INDIA),129887,100.0,13091.6,9.9
