SI.No,State/UT,"Number of
Suicides",Percentage Share in Total Suicides,Projected Mid–Year Population #(in Lakh),Rate of Suicides (Col.3/Col.5)
1,ANDHRA PRADESH,7043,4.6,526.0,13.4
2,ARUNACHAL PRADESH,160,0.1,15.2,10.5
3,ASSAM,3243,2.1,347.9,9.3
4,BIHAR,809,0.5,1219,0.7
5,CHHATTISGARH,7710,5.0,292.4,26.4
6,GOA,308,0.2,15.5,19.9
7,GUJARAT,8050,5.3,691.7,11.6
8,HARYANA,4001,2.6,292.1,13.7
9,HIMACHAL PRADESH,857,0.6,73.6,11.6
10,JHARKHAND,2145,1.4,381.2,5.6
11,KARNATAKA,12259,8.0,665.0,18.4
12,KERALA,8500,5.6,353.7,24.0
13,MADHYA PRADESH,14578,9.5,837.6,17.4
14,MAHARASHTRA,19909,13.0,1236.8,16.1
15,MANIPUR,44,0.0,31.4,1.4
16,MEGHALAYA,224,0.1,32.6,6.9
17,MIZORAM,108,0.1,12.1,8.9
18,NAGALAND,48,0.0,21.8,2.2
19,ODISHA,5546,3.6,454.7,12.2
20,PUNJAB,2616,1.7,301.8,8.7
21,RAJASTHAN,5658,3.7,786.1,7.2
22,SIKKIM,285,0.2,6.7,42.5
23,TAMIL NADU,16883,11.0,761.7,22.2
24,TELANGANA,8058,5.3,375.4,21.5
25,TRIPURA,845,0.6,40.4,20.9
26,UTTAR PRADESH,4804,3.1,2289.3,2.1
27,UTTARAKHAND,943,0.6,113.1,8.3
28,WEST BENGAL,13103,8.6,977.2,13.4
29,TOTAL (STATES),148737,97.2,13151.8,11.3
30,UNION TERRITORIES,,,,
31,A & N ISLANDS,180,0.1,4.0,45.0
32,CHANDIGARH,128,0.1,12.0,10.7
33,D & N HAVELI AND DAMAN & DIU,156,0.1,10.4,15.0
34,DELHI (UT),3142,2.1,203.2,15.5
35,JAMMU & KASHMIR,287,0.2,133.4,2.2
36,LADAKH,12,0.0,3.0,4.0
37,LAKSHADWEEP,2,0.0,0.7,2.9
38,PUDUCHERRY,408,0.3,15.5,26.3
39,TOTAL (UTs),4315,2.8,382.1,11.3
40,TOTAL (ALL INDIA),153052,100.0,13533.9,11.3
